Gassy Well w/separator  August 1996
5x5i03.csv,  Start Time = 0 sec, Duration = 59 sec
08/04/96
0:00:00 AM
time(sec),     pos(in)
 47.66 ,      -6.04 
 47.68 ,      -6.12 
 47.7 ,       -6.2 
 47.72 ,      -6.27 
 47.74 ,      -6.33 
 47.76 ,      -6.39 
 47.78 ,      -6.45 
 47.8 ,       -6.5 
 47.82 ,      -6.54 
 47.84 ,      -6.59 
 47.86 ,      -6.62 
 47.88 ,      -6.65 
 47.9 ,       -6.66 
 47.92 ,      -6.67 
 47.94 ,      -6.67 
 47.96 ,      -6.65 
 47.98 ,      -6.63 
 48 ,         -6.59 
 48.02 ,      -6.55 
 48.04 ,      -6.5 
 48.06 ,      -6.44 
 48.08 ,      -6.37 
 48.1 ,       -6.3 
 48.12 ,      -6.22 
 48.14 ,      -6.13 
 48.16 ,      -6.03 
 48.18 ,      -5.91 
 48.2 ,       -5.77 
 48.22 ,      -5.62 
 48.24 ,      -5.45 
 48.26 ,      -5.26 
 48.28 ,      -5.06 
 48.3 ,       -4.85 
 48.32 ,      -4.62 
 48.34 ,      -4.39 
 48.36 ,      -4.15 
 48.38 ,      -3.9 
 48.4 ,       -3.65 
 48.42 ,      -3.39 
 48.44 ,      -3.13 
 48.46 ,      -2.86 
 48.48 ,      -2.59 
 48.5 ,       -2.32 
 48.52 ,      -2.03 
 48.54 ,      -1.75 
 48.56 ,      -1.46 
 48.58 ,      -1.17 
 48.6 ,       -.87 
 48.62 ,      -.56 
 48.64 ,      -.25 
 48.66 ,       .08 
 48.68 ,       .41 
 48.7 ,        .75 
 48.72 ,       1.11 
 48.74 ,       1.48 
 48.76 ,       1.86 
 48.78 ,       2.27 
 48.8 ,        2.69 
 48.82 ,       3.12 
 48.84 ,       3.58 
 48.86 ,       4.05 
 48.88 ,       4.54 
 48.9 ,        5.05 
 48.92 ,       5.58 
 48.94 ,       6.13 
 48.96 ,       6.69 
 48.98 ,       7.27 
 49 ,          7.86 
 49.02 ,       8.47 
 49.04 ,       9.09 
 49.06 ,       9.73 
 49.08 ,       10.38 
 49.1 ,        11.04 
 49.12 ,       11.72 
 49.14 ,       12.4 
 49.16 ,       13.11 
 49.18 ,       13.82 
 49.2 ,        14.55 
 49.22 ,       15.28 
 49.24 ,       16.03 
 49.26 ,       16.79 
 49.28 ,       17.55 
 49.3 ,        18.33 
 49.32 ,       19.11 
 49.34 ,       19.9 
 49.36 ,       20.7 
 49.38 ,       21.5 
 49.4 ,        22.31 
 49.42 ,       23.12 
 49.44 ,       23.93 
 49.46 ,       24.75 
 49.48 ,       25.56 
 49.5 ,        26.38 
 49.52 ,       27.19 
 49.54 ,       28 
 49.56 ,       28.81 
 49.58 ,       29.61 
 49.6 ,        30.42 
 49.62 ,       31.23 
 49.64 ,       32.04 
 49.66 ,       32.85 
 49.68 ,       33.66 
 49.7 ,        34.48 
 49.72 ,       35.29 
 49.74 ,       36.12 
 49.76 ,       36.95 
 49.78 ,       37.78 
 49.8 ,        38.61 
 49.82 ,       39.46 
 49.84 ,       40.3 
 49.86 ,       41.16 
 49.88 ,       42.02 
 49.9 ,        42.88 
 49.92 ,       43.75 
 49.94 ,       44.63 
 49.96 ,       45.51 
 49.98 ,       46.4 
 50 ,          47.29 
 50.02 ,       48.2 
 50.04 ,       49.11 
 50.06 ,       50.02 
 50.08 ,       50.95 
 50.1 ,        51.89 
 50.12 ,       52.83 
 50.14 ,       53.79 
 50.16 ,       54.75 
 50.18 ,       55.73 
 50.2 ,        56.72 
 50.22 ,       57.72 
 50.24 ,       58.73 
 50.26 ,       59.75 
 50.28 ,       60.77 
 50.3 ,        61.8 
 50.32 ,       62.84 
 50.34 ,       63.88 
 50.36 ,       64.94 
 50.38 ,       65.99 
 50.4 ,        67.06 
 50.42 ,       68.14 
 50.44 ,       69.22 
 50.46 ,       70.3 
 50.48 ,       71.39 
 50.5 ,        72.48 
 50.52 ,       73.57 
 50.54 ,       74.66 
 50.56 ,       75.74 
 50.58 ,       76.82 
 50.6 ,        77.9 
 50.62 ,       78.98 
 50.64 ,       80.06 
 50.66 ,       81.14 
 50.68 ,       82.22 
 50.7 ,        83.29 
 50.72 ,       84.36 
 50.74 ,       85.43 
 50.76 ,       86.48 
 50.78 ,       87.53 
 50.8 ,        88.57 
 50.82 ,       89.61 
 50.84 ,       90.63 
 50.86 ,       91.65 
 50.88 ,       92.66 
 50.9 ,        93.67 
 50.92 ,       94.68 
 50.94 ,       95.68 
 50.96 ,       96.69 
 50.98 ,       97.69 
 51 ,          98.68 
 51.02 ,       99.66 
 51.04 ,       100.64 
 51.06 ,       101.61 
 51.08 ,       102.58 
 51.1 ,        103.53 
 51.12 ,       104.48 
 51.14 ,       105.43 
 51.16 ,       106.37 
 51.18 ,       107.32 
 51.2 ,        108.26 
 51.22 ,       109.2 
 51.24 ,       110.14 
 51.26 ,       111.07 
 51.28 ,       112 
 51.3 ,        112.93 
 51.32 ,       113.86 
 51.34 ,       114.78 
 51.36 ,       115.69 
 51.38 ,       116.61 
 51.4 ,        117.51 
 51.42 ,       118.42 
 51.44 ,       119.33 
 51.46 ,       120.23 
 51.48 ,       121.13 
 51.5 ,        122.03 
 51.52 ,       122.92 
 51.54 ,       123.81 
 51.56 ,       124.7 
 51.58 ,       125.57 
 51.6 ,        126.44 
 51.62 ,       127.3 
 51.64 ,       128.15 
 51.66 ,       128.98 
 51.68 ,       129.81 
 51.7 ,        130.63 
 51.72 ,       131.44 
 51.74 ,       132.24 
 51.76 ,       133.03 
 51.78 ,       133.81 
 51.8 ,        134.58 
 51.82 ,       135.34 
 51.84 ,       136.08 
 51.86 ,       136.81 
 51.88 ,       137.53 
 51.9 ,        138.22 
 51.92 ,       138.91 
 51.94 ,       139.57 
 51.96 ,       140.23 
 51.98 ,       140.86 
 52 ,          141.48 
 52.02 ,       142.09 
 52.04 ,       142.68 
 52.06 ,       143.26 
 52.08 ,       143.81 
 52.1 ,        144.35 
 52.12 ,       144.86 
 52.14 ,       145.36 
 52.16 ,       145.83 
 52.18 ,       146.29 
 52.2 ,        146.72 
 52.22 ,       147.14 
 52.24 ,       147.54 
 52.26 ,       147.91 
 52.28 ,       148.28 
 52.3 ,        148.63 
 52.32 ,       148.96 
 52.34 ,       149.27 
 52.36 ,       149.57 
 52.38 ,       149.85 
 52.4 ,        150.12 
 52.42 ,       150.36 
 52.44 ,       150.58 
 52.46 ,       150.79 
 52.48 ,       150.98 
 52.5 ,        151.15 
 52.52 ,       151.3 
 52.54 ,       151.43 
 52.56 ,       151.55 
 52.58 ,       151.65 
 52.6 ,        151.73 
 52.62 ,       151.79 
 52.64 ,       151.84 
 52.66 ,       151.86 
 52.68 ,       151.87 
 52.7 ,        151.85 
 52.72 ,       151.83 
 52.74 ,       151.78 
 52.76 ,       151.73 
 52.78 ,       151.66 
 52.8 ,        151.59 
 52.82 ,       151.5 
 52.84 ,       151.4 
 52.86 ,       151.29 
 52.88 ,       151.17 
 52.9 ,        151.02 
 52.92 ,       150.86 
 52.94 ,       150.67 
 52.96 ,       150.45 
 52.98 ,       150.19 
 53 ,          149.9 
 53.02 ,       149.58 
 53.04 ,       149.22 
 53.06 ,       148.83 
 53.08 ,       148.4 
 53.1 ,        147.95 
 53.12 ,       147.47 
 53.14 ,       146.97 
 53.16 ,       146.45 
 53.18 ,       145.91 
 53.2 ,        145.35 
 53.22 ,       144.78 
 53.24 ,       144.19 
 53.26 ,       143.58 
 53.28 ,       142.94 
 53.3 ,        142.28 
 53.32 ,       141.59 
 53.34 ,       140.88 
 53.36 ,       140.13 
 53.38 ,       139.35 
 53.4 ,        138.53 
 53.42 ,       137.68 
 53.44 ,       136.8 
 53.46 ,       135.88 
 53.48 ,       134.93 
 53.5 ,        133.94 
 53.52 ,       132.93 
 53.54 ,       131.89 
 53.56 ,       130.82 
 53.58 ,       129.74 
 53.6 ,        128.63 
 53.62 ,       127.51 
 53.64 ,       126.38 
 53.66 ,       125.24 
 53.68 ,       124.09 
 53.7 ,        122.93 
 53.72 ,       121.76 
 53.74 ,       120.59 
 53.76 ,       119.42 
 53.78 ,       118.24 
 53.8 ,        117.05 
 53.82 ,       115.86 
 53.84 ,       114.66 
 53.86 ,       113.46 
 53.88 ,       112.24 
 53.9 ,        111 
 53.92 ,       109.76 
 53.94 ,       108.5 
 53.96 ,       107.22 
 53.98 ,       105.93 
 54 ,          104.64 
 54.02 ,       103.34 
 54.04 ,       102.04 
 54.06 ,       100.74 
 54.08 ,       99.44 
 54.1 ,        98.13 
 54.12 ,       96.82 
 54.14 ,       95.51 
 54.16 ,       94.18 
 54.18 ,       92.84 
 54.2 ,        91.49 
 54.22 ,       90.12 
 54.24 ,       88.74 
 54.26 ,       87.34 
 54.28 ,       85.93 
 54.3 ,        84.51 
 54.32 ,       83.08 
 54.34 ,       81.64 
 54.36 ,       80.19 
 54.38 ,       78.73 
 54.4 ,        77.26 
 54.42 ,       75.77 
 54.44 ,       74.28 
 54.46 ,       72.77 
 54.48 ,       71.25 
 54.5 ,        69.73 
 54.52 ,       68.21 
 54.54 ,       66.68 
 54.56 ,       65.16 
 54.58 ,       63.65 
 54.6 ,        62.15 
 54.62 ,       60.65 
 54.64 ,       59.17 
 54.66 ,       57.7 
 54.68 ,       56.23 
 54.7 ,        54.77 
 54.72 ,       53.32 
 54.74 ,       51.88 
 54.76 ,       50.45 
 54.78 ,       49.02 
 54.8 ,        47.61 
 54.82 ,       46.22 
 54.84 ,       44.84 
 54.86 ,       43.48 
 54.88 ,       42.14 
 54.9 ,        40.82 
 54.92 ,       39.52 
 54.94 ,       38.24 
 54.96 ,       36.99 
 54.98 ,       35.75 
 55 ,          34.54 
 55.02 ,       33.35 
 55.04 ,       32.18 
 55.06 ,       31.03 
 55.08 ,       29.9 
 55.1 ,        28.8 
 55.12 ,       27.72 
 55.14 ,       26.66 
 55.16 ,       25.62 
 55.18 ,       24.61 
 55.2 ,        23.61 
 55.22 ,       22.62 
 55.24 ,       21.65 
 55.26 ,       20.7 
 55.28 ,       19.75 
 55.3 ,        18.82 
 55.32 ,       17.9 
 55.34 ,       16.99 
 55.36 ,       16.09 
 55.38 ,       15.21 
 55.4 ,        14.33 
 55.42 ,       13.46 
 55.44 ,       12.6 
 55.46 ,       11.74 
 55.48 ,       10.89 
 55.5 ,        10.04 
 55.52 ,       9.2 
 55.54 ,       8.37 
 55.56 ,       7.54 
 55.58 ,       6.73 
 55.6 ,        5.92 
 55.62 ,       5.12 
 55.64 ,       4.33 
 55.66 ,       3.53 
 55.68 ,       2.74 
 55.7 ,        1.96 
 55.72 ,       1.19 
 55.74 ,       .42 
 55.76 ,      -.34 
 55.78 ,      -1.08 
 55.8 ,       -1.81 
 55.82 ,      -2.53 
 55.84 ,      -3.23 
 55.86 ,      -3.93 
 55.88 ,      -4.61 
 55.9 ,       -5.29 
 55.92 ,      -5.96 
 55.94 ,      -6.62 
 55.96 ,      -7.27 
 55.98 ,      -7.9 
 56 ,         -8.52 
 56.02 ,      -9.13 
 56.04 ,      -9.71 
 56.06 ,      -10.28 
 56.08 ,      -10.83 
 56.1 ,       -11.35 
 56.12 ,      -11.86 
 56.14 ,      -12.35 
 56.16 ,      -12.83 
 56.18 ,      -13.29 
 56.2 ,       -13.73 
 56.22 ,      -14.15 
 56.24 ,      -14.56 
 56.26 ,      -14.95 
 56.28 ,      -15.33 
 56.3 ,       -15.68 
 56.32 ,      -16.02 
 56.34 ,      -16.34 
 56.36 ,      -16.65 
 56.38 ,      -16.94 
 56.4 ,       -17.22 
 56.42 ,      -17.48 
 56.44 ,      -17.74 
 56.46 ,      -17.98 
 56.48 ,      -18.22 
 56.5 ,       -18.45 
 56.52 ,      -18.67 
 56.54 ,      -18.88 
 56.56 ,      -19.08 
 56.58 ,      -19.27 
 56.6 ,       -19.45 
 56.62 ,      -19.63 
 56.64 ,      -19.79 
 56.66 ,      -19.94 
 56.68 ,      -20.09 
 56.7 ,       -20.23 
 56.72 ,      -20.36 
 56.74 ,      -20.5 
 56.76 ,      -20.63 
 56.78 ,      -20.76 
 56.8 ,       -20.88 
 56.82 ,      -21 
 56.84 ,      -21.12 
 56.86 ,      -21.23 
 56.88 ,      -21.34 
 56.9 ,       -21.44 
 56.92 ,      -21.54 
 56.94 ,      -21.63 
 56.96 ,      -21.72 
 56.98 ,      -21.8 
 57 ,         -21.87 
 57.02 ,      -21.95 
 57.04 ,      -22.01 
 57.06 ,      -22.07 
 57.08 ,      -22.12 
 57.1 ,       -22.17 
 57.12 ,      -22.2 
 57.14 ,      -22.22 
 57.16 ,      -22.23 
 57.18 ,      -22.22 
 57.2 ,       -22.21 
 57.22 ,      -22.19 
 57.24 ,      -22.17 
 57.26 ,      -22.13 
 57.28 ,      -22.09 
 57.3 ,       -22.05 
 57.32 ,      -21.99 
 57.34 ,      -21.93 
 57.36 ,      -21.85 
 57.38 ,      -21.76 
 57.4 ,       -21.65 
 57.42 ,      -21.52 
 57.44 ,      -21.38 
 57.46 ,      -21.22 
 57.48 ,      -21.04 
 57.5 ,       -20.85 
 57.52 ,      -20.65 
 57.54 ,      -20.43 
 57.56 ,      -20.21 
 57.58 ,      -19.99 
 57.6 ,       -19.76 
 57.62 ,      -19.53 
 57.64 ,      -19.29 
 57.66 ,      -19.05 
 57.68 ,      -18.8 
 57.7 ,       -18.55 
 57.72 ,      -18.29 
 57.74 ,      -18.03 
 57.76 ,      -17.76 
 57.78 ,      -17.49 
 57.8 ,       -17.21 
 57.82 ,      -16.93 
 57.84 ,      -16.64 
 57.86 ,      -16.34 
 57.88 ,      -16.03 
 57.9 ,       -15.72 
 57.92 ,      -15.38 
 57.94 ,      -15.04 
 57.96 ,      -14.68 
 57.98 ,      -14.3 
 58 ,         -13.91 
 58.02 ,      -13.5 
 58.04 ,      -13.08 
 58.06 ,      -12.64 
 58.08 ,      -12.18 
 58.1 ,       -11.7 
 58.12 ,      -11.21 
 58.14 ,      -10.69 
 58.16 ,      -10.16 
 58.18 ,      -9.61 
 58.2 ,       -9.05 
 58.22 ,      -8.47 
 58.24 ,      -7.88 
 58.26 ,      -7.27 
 58.28 ,      -6.64 
 58.3 ,       -6 
 58.32 ,      -5.35 
 58.34 ,      -4.69 
 58.36 ,      -4.01 
 58.38 ,      -3.33 
 58.4 ,       -2.63 
 58.42 ,      -1.91 
 58.44 ,      -1.19 
 58.46 ,      -.46 
 58.48 ,       .28 
 58.5 ,        1.03 
 58.52 ,       1.79 
 58.54 ,       2.56 
 58.56 ,       3.33 
 58.58 ,       4.11 
 58.6 ,        4.89 
 58.62 ,       5.68 
 58.64 ,       6.47 
 58.66 ,       7.26 
 58.68 ,       8.06 
 58.7 ,        8.85 
 58.72 ,       9.64 
 58.74 ,       10.44 
 58.76 ,       11.23 
 58.78 ,       12.02 
 58.8 ,        12.81 
 58.82 ,       13.6 
 58.84 ,       14.39 
 58.86 ,       15.18 
 58.88 ,       15.98 
 58.9 ,        16.77 
 58.92 ,       17.57 
 58.94 ,       18.37 
 58.96 ,       19.18 
 58.98 ,       19.99 
 59 ,          20.8 
