Gassy Well w/separator  August 1996
5x5i03.csv,  Start Time = 0 sec, Duration = 59 sec
08/04/96
0:00:00 AM
time(sec),     Pressure(psi)
 4.88 ,        438.4 
 4.9 ,         444.5 
 4.92 ,        438.4 
 4.94 ,        438.4 
 4.96 ,        444.5 
 4.98 ,        444.5 
 5 ,           441.4 
 5.02 ,        444.5 
 5.04 ,        441.4 
 5.06 ,        441.4 
 5.08 ,        444.5 
 5.1 ,         438.4 
 5.12 ,        444.5 
 5.14 ,        438.4 
 5.16 ,        444.5 
 5.18 ,        438.4 
 5.2 ,         441.4 
 5.22 ,        441.4 
 5.24 ,        441.4 
 5.26 ,        447.5 
 5.28 ,        444.5 
 5.3 ,         438.4 
 5.32 ,        438.4 
 5.34 ,        441.4 
 5.36 ,        444.5 
 5.38 ,        441.4 
 5.4 ,         438.4 
 5.42 ,        444.5 
 5.44 ,        435.4 
 5.46 ,        444.5 
 5.48 ,        444.5 
 5.5 ,         438.4 
 5.52 ,        438.4 
 5.54 ,        441.4 
 5.56 ,        444.5 
 5.58 ,        438.4 
 5.6 ,         438.4 
 5.62 ,        441.4 
 5.64 ,        438.4 
 5.66 ,        438.4 
 5.68 ,        441.4 
 5.7 ,         444.5 
 5.72 ,        441.4 
 5.74 ,        438.4 
 5.76 ,        444.5 
 5.78 ,        438.4 
 5.8 ,         447.5 
 5.82 ,        438.4 
 5.84 ,        441.4 
 5.86 ,        438.4 
 5.88 ,        441.4 
 5.9 ,         438.4 
 5.92 ,        438.4 
 5.94 ,        444.5 
 5.96 ,        438.4 
 5.98 ,        438.4 
 6 ,           444.5 
 6.02 ,        438.4 
 6.04 ,        444.5 
 6.06 ,        441.4 
 6.08 ,        444.5 
 6.1 ,         441.4 
 6.12 ,        444.5 
 6.14 ,        438.4 
 6.16 ,        444.5 
 6.18 ,        438.4 
 6.2 ,         441.4 
 6.22 ,        438.4 
 6.24 ,        438.4 
 6.26 ,        444.5 
 6.28 ,        438.4 
 6.3 ,         438.4 
 6.32 ,        438.4 
 6.34 ,        447.5 
 6.36 ,        441.4 
 6.38 ,        447.5 
 6.4 ,         444.5 
 6.42 ,        438.4 
 6.44 ,        450.5 
 6.46 ,        438.4 
 6.48 ,        444.5 
 6.5 ,         438.4 
 6.52 ,        444.5 
 6.54 ,        441.4 
 6.56 ,        438.4 
 6.58 ,        444.5 
 6.6 ,         438.4 
 6.62 ,        444.5 
 6.64 ,        438.4 
 6.66 ,        444.5 
 6.68 ,        438.4 
 6.7 ,         438.4 
 6.72 ,        447.5 
 6.74 ,        444.5 
 6.76 ,        441.4 
 6.78 ,        438.4 
 6.8 ,         444.5 
 6.82 ,        438.4 
 6.84 ,        438.4 
 6.86 ,        441.4 
 6.88 ,        441.4 
 6.9 ,         438.4 
 6.92 ,        444.5 
 6.94 ,        438.4 
 6.96 ,        438.4 
 6.98 ,        438.4 
 7 ,           444.5 
 7.02 ,        438.4 
 7.04 ,        438.4 
 7.06 ,        447.5 
 7.08 ,        438.4 
 7.1 ,         438.4 
 7.12 ,        444.5 
 7.14 ,        438.4 
 7.16 ,        438.4 
 7.18 ,        444.5 
 7.2 ,         438.4 
 7.22 ,        447.5 
 7.24 ,        441.4 
 7.26 ,        441.4 
 7.28 ,        444.5 
 7.3 ,         441.4 
 7.32 ,        438.4 
 7.34 ,        447.5 
 7.36 ,        441.4 
 7.38 ,        450.5 
 7.4 ,         447.5 
 7.42 ,        441.4 
 7.44 ,        441.4 
 7.46 ,        444.5 
 7.48 ,        438.4 
 7.5 ,         447.5 
 7.52 ,        441.4 
 7.54 ,        450.5 
 7.56 ,        441.4 
 7.58 ,        438.4 
 7.6 ,         444.5 
 7.62 ,        444.5 
 7.64 ,        441.4 
 7.66 ,        438.4 
 7.68 ,        441.4 
 7.7 ,         438.4 
 7.72 ,        441.4 
 7.74 ,        444.5 
 7.76 ,        441.4 
 7.78 ,        444.5 
 7.8 ,         444.5 
 7.82 ,        450.5 
 7.84 ,        444.5 
 7.86 ,        444.5 
 7.88 ,        444.5 
 7.9 ,         441.4 
 7.92 ,        447.5 
 7.94 ,        441.4 
 7.96 ,        450.5 
 7.98 ,        441.4 
 8 ,           450.5 
 8.02 ,        441.4 
 8.04 ,        447.5 
 8.06 ,        444.5 
 8.08 ,        444.5 
 8.1 ,         441.4 
 8.12 ,        444.5 
 8.14 ,        438.4 
 8.16 ,        441.4 
 8.18 ,        450.5 
 8.2 ,         444.5 
 8.22 ,        450.5 
 8.24 ,        447.5 
 8.26 ,        441.4 
 8.28 ,        453.5 
 8.3 ,         441.4 
 8.32 ,        444.5 
 8.34 ,        450.5 
 8.36 ,        444.5 
 8.38 ,        447.5 
 8.4 ,         444.5 
 8.42 ,        450.5 
 8.44 ,        441.4 
 8.46 ,        444.5 
 8.48 ,        447.5 
 8.5 ,         444.5 
 8.52 ,        441.4 
 8.54 ,        447.5 
 8.56 ,        444.5 
 8.58 ,        441.4 
 8.6 ,         450.5 
 8.62 ,        444.5 
 8.64 ,        444.5 
 8.66 ,        447.5 
 8.68 ,        447.5 
 8.7 ,         441.4 
 8.72 ,        444.5 
 8.74 ,        444.5 
 8.76 ,        447.5 
 8.78 ,        444.5 
 8.8 ,         447.5 
 8.82 ,        447.5 
 8.84 ,        444.5 
 8.86 ,        444.5 
 8.88 ,        447.5 
 8.9 ,         444.5 
 8.92 ,        447.5 
 8.94 ,        450.5 
 8.96 ,        444.5 
 8.98 ,        444.5 
 9 ,           444.5 
 9.02 ,        450.5 
 9.04 ,        444.5 
 9.06 ,        444.5 
 9.08 ,        447.5 
 9.1 ,         444.5 
 9.12 ,        444.5 
 9.14 ,        441.4 
 9.16 ,        450.5 
 9.18 ,        444.5 
 9.2 ,         450.5 
 9.22 ,        444.5 
 9.24 ,        453.5 
 9.26 ,        447.5 
 9.28 ,        447.5 
 9.3 ,         450.5 
 9.32 ,        447.5 
 9.34 ,        444.5 
 9.36 ,        447.5 
 9.38 ,        450.5 
 9.4 ,         447.5 
 9.42 ,        444.5 
 9.44 ,        453.5 
 9.46 ,        444.5 
 9.48 ,        447.5 
 9.5 ,         444.5 
 9.52 ,        444.5 
 9.54 ,        447.5 
 9.56 ,        444.5 
 9.58 ,        447.5 
 9.6 ,         453.5 
 9.62 ,        444.5 
 9.64 ,        444.5 
 9.66 ,        447.5 
 9.68 ,        447.5 
 9.7 ,         447.5 
 9.72 ,        447.5 
 9.74 ,        450.5 
 9.76 ,        444.5 
 9.78 ,        447.5 
 9.8 ,         441.4 
 9.82 ,        453.5 
 9.84 ,        444.5 
 9.86 ,        444.5 
 9.88 ,        444.5 
 9.9 ,         444.5 
 9.92 ,        453.5 
 9.94 ,        453.5 
 9.96 ,        444.5 
 9.98 ,        444.5 
 10 ,          444.5 
 10.02 ,       453.5 
 10.04 ,       447.5 
 10.06 ,       444.5 
 10.08 ,       447.5 
 10.1 ,        444.5 
 10.12 ,       450.5 
 10.14 ,       444.5 
 10.16 ,       447.5 
 10.18 ,       444.5 
 10.2 ,        450.5 
 10.22 ,       444.5 
 10.24 ,       450.5 
 10.26 ,       444.5 
 10.28 ,       444.5 
 10.3 ,        450.5 
 10.32 ,       444.5 
 10.34 ,       444.5 
 10.36 ,       447.5 
 10.38 ,       441.4 
 10.4 ,        444.5 
 10.42 ,       444.5 
 10.44 ,       444.5 
 10.46 ,       444.5 
 10.48 ,       444.5 
 10.5 ,        453.5 
 10.52 ,       444.5 
 10.54 ,       447.5 
 10.56 ,       453.5 
 10.58 ,       444.5 
 10.6 ,        444.5 
 10.62 ,       447.5 
 10.64 ,       450.5 
 10.66 ,       447.5 
 10.68 ,       444.5 
 10.7 ,        450.5 
 10.72 ,       447.5 
 10.74 ,       444.5 
 10.76 ,       447.5 
 10.78 ,       447.5 
 10.8 ,        444.5 
 10.82 ,       447.5 
 10.84 ,       441.4 
 10.86 ,       444.5 
 10.88 ,       441.4 
 10.9 ,        444.5 
 10.92 ,       441.4 
 10.94 ,       447.5 
 10.96 ,       444.5 
 10.98 ,       453.5 
 11 ,          444.5 
 11.02 ,       444.5 
 11.04 ,       447.5 
 11.06 ,       441.4 
 11.08 ,       444.5 
 11.1 ,        441.4 
 11.12 ,       450.5 
 11.14 ,       444.5 
 11.16 ,       444.5 
 11.18 ,       444.5 
 11.2 ,        447.5 
 11.22 ,       447.5 
 11.24 ,       444.5 
 11.26 ,       441.4 
 11.28 ,       441.4 
 11.3 ,        450.5 
 11.32 ,       444.5 
 11.34 ,       441.4 
 11.36 ,       450.5 
 11.38 ,       441.4 
 11.4 ,        441.4 
 11.42 ,       450.5 
 11.44 ,       444.5 
 11.46 ,       444.5 
 11.48 ,       447.5 
 11.5 ,        444.5 
 11.52 ,       447.5 
 11.54 ,       441.4 
 11.56 ,       450.5 
 11.58 ,       447.5 
 11.6 ,        447.5 
 11.62 ,       441.4 
 11.64 ,       447.5 
 11.66 ,       444.5 
 11.68 ,       444.5 
 11.7 ,        447.5 
 11.72 ,       447.5 
 11.74 ,       441.4 
 11.76 ,       447.5 
 11.78 ,       444.5 
 11.8 ,        444.5 
 11.82 ,       447.5 
 11.84 ,       447.5 
 11.86 ,       441.4 
 11.88 ,       447.5 
 11.9 ,        447.5 
 11.92 ,       453.5 
 11.94 ,       450.5 
 11.96 ,       444.5 
 11.98 ,       453.5 
 12 ,          444.5 
 12.02 ,       450.5 
 12.04 ,       444.5 
 12.06 ,       447.5 
 12.08 ,       444.5 
 12.1 ,        447.5 
 12.12 ,       447.5 
 12.14 ,       444.5 
 12.16 ,       450.5 
 12.18 ,       447.5 
 12.2 ,        441.4 
 12.22 ,       444.5 
 12.24 ,       444.5 
 12.26 ,       441.4 
 12.28 ,       444.5 
 12.3 ,        444.5 
 12.32 ,       450.5 
 12.34 ,       441.4 
 12.36 ,       447.5 
 12.38 ,       444.5 
 12.4 ,        441.4 
 12.42 ,       447.5 
 12.44 ,       444.5 
 12.46 ,       441.4 
 12.48 ,       450.5 
 12.5 ,        441.4 
 12.52 ,       444.5 
 12.54 ,       444.5 
 12.56 ,       447.5 
 12.58 ,       444.5 
 12.6 ,        444.5 
 12.62 ,       444.5 
 12.64 ,       444.5 
 12.66 ,       441.4 
 12.68 ,       453.5 
 12.7 ,        444.5 
 12.72 ,       441.4 
 12.74 ,       444.5 
 12.76 ,       447.5 
 12.78 ,       441.4 
 12.8 ,        447.5 
 12.82 ,       444.5 
 12.84 ,       441.4 
 12.86 ,       447.5 
 12.88 ,       444.5 
 12.9 ,        444.5 
 12.92 ,       441.4 
 12.94 ,       441.4 
 12.96 ,       450.5 
 12.98 ,       438.4 
 13 ,          447.5 
 13.02 ,       441.4 
 13.04 ,       444.5 
 13.06 ,       438.4 
 13.08 ,       438.4 
 13.1 ,        444.5 
 13.12 ,       441.4 
 13.14 ,       447.5 
 13.16 ,       441.4 
 13.18 ,       438.4 
 13.2 ,        447.5 
 13.22 ,       444.5 
 13.24 ,       444.5 
 13.26 ,       447.5 
 13.28 ,       441.4 
 13.3 ,        438.4 
 13.32 ,       441.4 
 13.34 ,       444.5 
 13.36 ,       441.4 
 13.38 ,       438.4 
 13.4 ,        450.5 
 13.42 ,       444.5 
 13.44 ,       444.5 
 13.46 ,       444.5 
 13.48 ,       450.5 
 13.5 ,        441.4 
 13.52 ,       444.5 
 13.54 ,       438.4 
 13.56 ,       441.4 
 13.58 ,       444.5 
 13.6 ,        438.4 
 13.62 ,       447.5 
 13.64 ,       438.4 
 13.66 ,       444.5 
 13.68 ,       438.4 
 13.7 ,        441.4 
 13.72 ,       444.5 
 13.74 ,       441.4 
 13.76 ,       438.4 
 13.78 ,       447.5 
 13.8 ,        438.4 
 13.82 ,       438.4 
 13.84 ,       438.4 
 13.86 ,       444.5 
 13.88 ,       444.5 
 13.9 ,        438.4 
 13.92 ,       444.5 
 13.94 ,       444.5 
 13.96 ,       438.4 
 13.98 ,       447.5 
 14 ,          444.5 
 14.02 ,       438.4 
 14.04 ,       444.5 
 14.06 ,       444.5 
 14.08 ,       438.4 
 14.1 ,        441.4 
 14.12 ,       441.4 
 14.14 ,       441.4 
 14.16 ,       441.4 
 14.18 ,       441.4 
 14.2 ,        441.4 
 14.22 ,       438.4 
 14.24 ,       447.5 
 14.26 ,       441.4 
 14.28 ,       444.5 
 14.3 ,        444.5 
 14.32 ,       444.5 
 14.34 ,       438.4 
 14.36 ,       447.5 
 14.38 ,       444.5 
 14.4 ,        438.4 
 14.42 ,       438.4 
 14.44 ,       438.4 
 14.46 ,       438.4 
 14.48 ,       444.5 
 14.5 ,        441.4 
 14.52 ,       444.5 
 14.54 ,       441.4 
 14.56 ,       441.4 
 14.58 ,       444.5 
 14.6 ,        438.4 
 14.62 ,       447.5 
 14.64 ,       444.5 
 14.66 ,       438.4 
 14.68 ,       438.4 
 14.7 ,        444.5 
 14.72 ,       438.4 
 14.74 ,       441.4 
 14.76 ,       438.4 
 14.78 ,       444.5 
 14.8 ,        438.4 
 14.82 ,       444.5 
 14.84 ,       438.4 
 14.86 ,       444.5 
 14.88 ,       438.4 
 14.9 ,        438.4 
 14.92 ,       441.4 
 14.94 ,       438.4 
 14.96 ,       438.4 
 14.98 ,       444.5 
 15 ,          441.4 
 15.02 ,       438.4 
 15.04 ,       444.5 
 15.06 ,       438.4 
 15.08 ,       447.5 
 15.1 ,        438.4 
 15.12 ,       441.4 
 15.14 ,       438.4 
 15.16 ,       444.5 
 15.18 ,       441.4 
 15.2 ,        438.4 
 15.22 ,       444.5 
 15.24 ,       441.4 
 15.26 ,       438.4 
 15.28 ,       444.5 
 15.3 ,        438.4 
 15.32 ,       444.5 
 15.34 ,       438.4 
 15.36 ,       444.5 
 15.38 ,       444.5 
 15.4 ,        441.4 
 15.42 ,       438.4 
 15.44 ,       441.4 
 15.46 ,       444.5 
 15.48 ,       441.4 
 15.5 ,        444.5 
 15.52 ,       441.4 
 15.54 ,       441.4 
 15.56 ,       438.4 
 15.58 ,       441.4 
 15.6 ,        438.4 
 15.62 ,       441.4 
 15.64 ,       441.4 
 15.66 ,       438.4 
 15.68 ,       444.5 
 15.7 ,        438.4 
 15.72 ,       447.5 
 15.74 ,       441.4 
 15.76 ,       438.4 
 15.78 ,       450.5 
 15.8 ,        441.4 
 15.82 ,       444.5 
 15.84 ,       441.4 
 15.86 ,       441.4 
 15.88 ,       444.5 
 15.9 ,        438.4 
 15.92 ,       447.5 
 15.94 ,       438.4 
 15.96 ,       438.4 
 15.98 ,       438.4 
 16 ,          444.5 
 16.02 ,       438.4 
 16.04 ,       441.4 
 16.06 ,       444.5 
 16.08 ,       441.4 
 16.1 ,        441.4 
 16.12 ,       438.4 
 16.14 ,       441.4 
 16.16 ,       444.5 
 16.18 ,       441.4 
 16.2 ,        441.4 
 16.22 ,       441.4 
 16.24 ,       444.5 
 16.26 ,       441.4 
 16.28 ,       438.4 
 16.3 ,        444.5 
 16.32 ,       441.4 
 16.34 ,       447.5 
 16.36 ,       444.5 
 16.38 ,       450.5 
 16.4 ,        441.4 
 16.42 ,       441.4 
 16.44 ,       444.5 
 16.46 ,       447.5 
 16.48 ,       441.4 
 16.5 ,        441.4 
 16.52 ,       441.4 
 16.54 ,       450.5 
 16.56 ,       441.4 
 16.58 ,       450.5 
 16.6 ,        438.4 
 16.62 ,       438.4 
 16.64 ,       447.5 
 16.66 ,       441.4 
 16.68 ,       444.5 
 16.7 ,        447.5 
 16.72 ,       444.5 
 16.74 ,       438.4 
 16.76 ,       444.5 
 16.78 ,       441.4 
 16.8 ,        444.5 
 16.82 ,       444.5 
 16.84 ,       444.5 
 16.86 ,       441.4 
 16.88 ,       441.4 
 16.9 ,        444.5 
 16.92 ,       441.4 
 16.94 ,       447.5 
 16.96 ,       441.4 
 16.98 ,       447.5 
 17 ,          447.5 
 17.02 ,       441.4 
 17.04 ,       447.5 
 17.06 ,       441.4 
 17.08 ,       450.5 
 17.1 ,        441.4 
 17.12 ,       450.5 
 17.14 ,       444.5 
 17.16 ,       441.4 
 17.18 ,       450.5 
 17.2 ,        441.4 
 17.22 ,       441.4 
 17.24 ,       447.5 
 17.26 ,       441.4 
 17.28 ,       441.4 
 17.3 ,        447.5 
 17.32 ,       444.5 
 17.34 ,       441.4 
 17.36 ,       447.5 
 17.38 ,       447.5 
 17.4 ,        453.5 
 17.42 ,       447.5 
 17.44 ,       441.4 
 17.46 ,       447.5 
 17.48 ,       444.5 
 17.5 ,        441.4 
 17.52 ,       447.5 
 17.54 ,       444.5 
 17.56 ,       444.5 
 17.58 ,       450.5 
 17.6 ,        441.4 
 17.62 ,       447.5 
 17.64 ,       447.5 
 17.66 ,       444.5 
 17.68 ,       447.5 
 17.7 ,        441.4 
 17.72 ,       450.5 
 17.74 ,       444.5 
 17.76 ,       444.5 
 17.78 ,       450.5 
 17.8 ,        444.5 
 17.82 ,       450.5 
 17.84 ,       444.5 
 17.86 ,       447.5 
 17.88 ,       441.4 
 17.9 ,        450.5 
 17.92 ,       444.5 
 17.94 ,       444.5 
 17.96 ,       450.5 
 17.98 ,       447.5 
 18 ,          444.5 
 18.02 ,       450.5 
 18.04 ,       453.5 
 18.06 ,       444.5 
 18.08 ,       444.5 
 18.1 ,        444.5 
 18.12 ,       444.5 
 18.14 ,       444.5 
 18.16 ,       447.5 
 18.18 ,       444.5 
 18.2 ,        444.5 
 18.22 ,       447.5 
 18.24 ,       450.5 
 18.26 ,       444.5 
 18.28 ,       444.5 
 18.3 ,        450.5 
 18.32 ,       444.5 
 18.34 ,       444.5 
 18.36 ,       441.4 
 18.38 ,       450.5 
 18.4 ,        444.5 
 18.42 ,       444.5 
 18.44 ,       453.5 
 18.46 ,       447.5 
 18.48 ,       444.5 
 18.5 ,        447.5 
 18.52 ,       444.5 
 18.54 ,       453.5 
 18.56 ,       444.5 
 18.58 ,       444.5 
 18.6 ,        447.5 
 18.62 ,       444.5 
 18.64 ,       453.5 
 18.66 ,       444.5 
 18.68 ,       450.5 
 18.7 ,        444.5 
 18.72 ,       453.5 
 18.74 ,       444.5 
 18.76 ,       447.5 
 18.78 ,       444.5 
 18.8 ,        450.5 
 18.82 ,       444.5 
 18.84 ,       444.5 
 18.86 ,       444.5 
 18.88 ,       444.5 
 18.9 ,        447.5 
 18.92 ,       444.5 
 18.94 ,       444.5 
 18.96 ,       447.5 
 18.98 ,       444.5 
 19 ,          453.5 
 19.02 ,       447.5 
 19.04 ,       444.5 
 19.06 ,       447.5 
 19.08 ,       444.5 
 19.1 ,        450.5 
 19.12 ,       444.5 
 19.14 ,       447.5 
 19.16 ,       444.5 
 19.18 ,       447.5 
 19.2 ,        441.4 
 19.22 ,       450.5 
 19.24 ,       453.5 
 19.26 ,       441.4 
 19.28 ,       444.5 
 19.3 ,        450.5 
